EMPLOYER_ADDRESS_1,EMPLOYER_ADDRESS_2,EMPLOYER_CITY,EMPLOYER_STATE,EMPLOYER_POSTAL_CODE,Address,geocoded
35513 N Hwy 13,"35513 N Hwy 13, Craig CO 81625 (Mailing Address)",Craig,CO,81625,35513 N Hwy 13 Craig CO 81625,"(40.56670039999999, -107.5066934)"
501 N. Lincoln,"PO Box 156, Oak Creek CO 80467 (Mailing Address)",Oak Creek,CO,80467,501 N. Lincoln Oak Creek CO 80467,"(40.2749806, -106.9583829)"
311 Sumter Avenue,,Hartsville,SC,29551,311 Sumter Avenue Hartsville SC 29551,"(34.3691799, -80.07640540000001)"
9465 Miami Valley Rd,,Fort Valley,GA,31030,9465 Miami Valley Rd Fort Valley GA 31030,"(32.553914, -83.8125429)"
6362 N 192nd Avenue,,Walkerville,MI,49459,6362 N 192nd Avenue Walkerville MI 49459,"(43.75681, -86.0772516)"
P.O. Box 67,65380 Fourk Rd,Ione,OR,97843,P.O. Box 67 Ione OR 97843,"(45.5012431, -119.8247508)"
1795 Criders Church Rd.,,Chambersburg,PA,17202,1795 Criders Church Rd. Chambersburg PA 17202,"(39.950292, -77.753576)"
1910 Railway Avenue E,PO BOX 175,Lavina,MT,59046,1910 Railway Avenue E Lavina MT 59046,"(46.2873555, -108.9163434)"
663 Bergh Rd,,Redstone,MT,59257,663 Bergh Rd Redstone MT 59257,"(48.71285760000001, -104.8991239)"
701 S. Florida Avenue,,Wauchula,FL,33873,701 S. Florida Avenue Wauchula FL 33873,"(27.5389874, -81.81729109999999)"
22875 383rd Ave,,Wessington Springs,SD,57382,22875 383rd Ave Wessington Springs SD 57382,"(44.0698071, -98.5540547)"
52944  U.S. Hwy 131,,Three Rivers,MI,49093,52944  U.S. Hwy 131 Three Rivers MI 49093,"(41.9367635, -85.65177690000002)"
4565 Mesquite Pass ,,Seguin ,TX,78155,4565 Mesquite Pass  Seguin  TX 78155,"(29.60683349999999, -97.9515455)"
2229 Hwy. 149,"710 North River Bend Cove, Marion, AR 72364(Mailing Address)",Heth ,AR,72346,2229 Hwy. 149 Heth  AR 72346,"(35.0968639, -90.485489)"
128 South 100 West,"128 South 100 West, Cedar City UT 84720 (Mailing Address)",Cedar City,UT,84720,128 South 100 West Cedar City UT 84720,"(37.6751314, -113.0638156)"
13657 Wright Sheep Road,"111 Broadway Street Ste 900, Salt Lake City UT 84111 (Mailin",Peoa,UT,84061,13657 Wright Sheep Road Peoa UT 84061,"(40.6890507, -111.4236296)"
215 South 300 East,"215 South 300 East, Fairview UT 84629 (Mailing Address)",Fairview,UT,84629,215 South 300 East Fairview UT 84629,"(39.6246068, -111.4327822)"
1656 280th St,,Breckenridge,MN,56520,1656 280th St Breckenridge MN 56520,"(46.3702944, -96.6433814)"
"150 Aviation Way, STE. 2020",,Watsonville,CA,95076,"150 Aviation Way, STE. 2020 Watsonville CA 95076","(36.93294090000001, -121.7905056)"
PO Box 163,"142 Phillips 433 Rd, Wabash, AR  72389",Elaine,AR,72333,PO Box 163 Elaine AR 72333,"(34.3080442, -90.8531622)"
St RT 228 Woods LaneSt RT 228 Woods Lane,"HC 30 Box 320, Spring Creek NV 89815 (Mailing Address)",Lee,NV,89815,St RT 228 Woods LaneSt RT 228 Woods Lane Lee NV 89815,"(40.5840456, -115.6752212)"
250 S Collett,"PO Box 460 , Cokeville WY 83114 (Mailing Address)",Cokeville,WY,83114,250 S Collett Cokeville WY 83114,"(42.0824368, -110.9551867)"
7655 W HWY 328,,Eubank ,KY,42567,7655 W HWY 328 Eubank  KY 42567,"(37.2667636, -84.70630349999999)"
2504 Walden Woods Dr.,Suite 3,Plant City,FL,33566,2504 Walden Woods Dr. Plant City FL 33566,"(27.9864558, -82.1154871)"
3000 West County Road 70,"3000 West County Road 70, Fort Collins CO 80524 (Mailing Add",Fort Collins,CO,80524,3000 West County Road 70 Fort Collins CO 80524,"(40.762232, -105.12423)"
830 S. Cabbage Palm St.,,Clewiston,FL,33440,830 S. Cabbage Palm St. Clewiston FL 33440,"(26.6100059, -81.07910299999999)"
6710 SW Hwy 72,,Arcadia,FL,34266,6710 SW Hwy 72 Arcadia FL 34266,"(27.2055825, -81.95248)"
10107 132nd Ave SW,,Scranton,ND,58653,10107 132nd Ave SW Scranton ND 58653,"(45.95009470000001, -103.1188967)"
12021 Phillips Road,,Groveland,FL,34736,12021 Phillips Road Groveland FL 34736,"(28.5222661, -81.8271967)"
56 W. Central Ave.,Suite A,Lake Wales,FL,33853,56 W. Central Ave. Lake Wales FL 33853,"(27.9014149, -81.5911046)"
15834 S. Avenue G,PO Box 3170,Somerton,AZ,85350,15834 S. Avenue G Somerton AZ 85350,"(32.5986139, -114.7362761)"
525 22nd St E,,Williston,ND,58801,525 22nd St E Williston ND 58801,"(48.1652462, -103.613947)"
695 NW Ave L,PO Box 189,Belle Glade,FL,33430,695 NW Ave L Belle Glade FL 33430,"(26.6971158, -80.6743269)"
30 Sand Creek Rd,,Tifton,GA,31793,30 Sand Creek Rd Tifton GA 31793,"(31.4718034, -83.5732139)"
15368 W. Westview Drive,,Goodyear,AZ,85395,15368 W. Westview Drive Goodyear AZ 85395,"(33.4962357, -112.3890296)"
800 E 18th ,,Monahans,TX,79756,800 E 18th  Monahans TX 79756,"(31.5800876, -102.8785848)"
2914 9th St NW,PO Box 52,Coleharbor,ND,58576,2914 9th St NW Coleharbor ND 58576,"(47.5434693, -101.1682212)"
39211 133rd Street,,Aberdeen,SD,57401,39211 133rd Street Aberdeen SD 57401,"(45.4579273, -98.39037640000001)"
303 W Branche Street,,Rayne ,LA,70578,303 W Branche Street Rayne  LA 70578,"(30.2270414, -92.2711564)"
17836 N La Hwy 82,,Abbeville,LA,70510,17836 N La Hwy 82 Abbeville LA 70510,"(29.8457047, -92.27401189999999)"
5994 Hwy 182,,Opelousas,LA,70570,5994 Hwy 182 Opelousas LA 70570,"(30.4943121, -92.0892559)"
166 Hargraves Drive ,C-400-125,Austin,TX,78737,166 Hargraves Drive  Austin TX 78737,"(30.2037149, -97.9787065)"
12940 W Rd 130 N,,Selden,KS,67757,12940 W Rd 130 N Selden KS 67757,"(39.5390346, -100.6817846)"
9098 N HWY 125,"1358 North 200 West, Nephi UT 84648 (Mailing Address)",Leamington,UT,84638,9098 N HWY 125 Leamington UT 84638,"(39.5346744, -112.2835549)"
409 Quartz Street,"409 Quartz Street, Kemmerer WY 83101 (Mailing Address)",Kemmerer,WY,83101,409 Quartz Street Kemmerer WY 83101,"(41.797981, -110.542613)"
758 South Ridge Rd.,"758 South Ridge Rd., Cedar City UT 84720 (Mailing Address)",Cedar City,UT,84720,758 South Ridge Rd. Cedar City UT 84720,"(37.6639971, -113.0836397)"
39 Jennings Road,"39 Jennings Road, Riverton WY 82501 (Mailing Address)",Riverton,WY,82501,39 Jennings Road Riverton WY 82501,"(43.081207, -108.356127)"
69650 Hwy 205,"69650 Hwy 205, Burns OR 97720 (Mailing Address)",Burns,OR,97720,69650 Hwy 205 Burns OR 97720,"(43.5675066, -119.0261524)"
4832 Rivers Bridge Road,,Ehrhardt,SC,29081,4832 Rivers Bridge Road Ehrhardt SC 29081,"(33.083255, -81.121173)"
8 Canyon View Drive,,Dalhart,TX,79022,8 Canyon View Drive Dalhart TX 79022,"(36.0541574, -102.5304975)"
1588 Moffett Street Suite B,,Salinas,CA,93905,1588 Moffett Street Suite B Salinas CA 93905,"(36.659995, -121.612252)"
"185 N. Collece Ave. Fort Collins, Co  80524 ",,Fort Collins,CO,80524,"185 N. Collece Ave. Fort Collins, Co  80524  Fort Collins CO 80524","(40.5887361, -105.0773997)"
1923 MT Highway 41 South,,Twin Bridges,MT,59754,1923 MT Highway 41 South Twin Bridges MT 59754,"(45.4450626, -112.4213522)"
366 2nd Ave SW,PO Box 275 ,Killdeer,ND,58640,366 2nd Ave SW Killdeer ND 58640,"(47.37187979999999, -102.7575312)"
1225 B Main Street,,SOUTHAVEN,MS,38671,1225 B Main Street SOUTHAVEN MS 38671,"(34.9905912, -90.0120219)"
22110 CR 561,,Astatula,FL,34705,22110 CR 561 Astatula FL 34705,"(28.6686952, -81.73611749999999)"
19 Lupe Lane,,Wray,GA,31798,19 Lupe Lane Wray GA 31798,"(31.586722, -83.05746599999999)"
7900 Old Elm Rd,,Sturgeon Bay,WI,54235,7900 Old Elm Rd Sturgeon Bay WI 54235,"(44.7367009, -87.502843)"
605 Custer Avenue,,Curtis,NE,69025,605 Custer Avenue Curtis NE 69025,"(40.6342873, -100.5129005)"
110 Marianna Street,PO Box 1008 Tallulah LA 71284,Tallulah,LA,71284,110 Marianna Street Tallulah LA 71284,"(32.39215, -91.174072)"
9874 Hwy 9 S,P.O. Box 515 (Mailing),Randolph,MS,38864,9874 Hwy 9 S Randolph MS 38864,"(34.1882951, -89.16423759999999)"
11441 Highway 1131,,Welsh,LA,70591,11441 Highway 1131 Welsh LA 70591,"(30.198988, -92.88663)"
#11 Cimarron Drive,"Intersection of FM 998 and CR 36 Hartley, TX 79022",Dalhart ,TX,79022,#11 Cimarron Drive Dalhart  TX 79022,"(36.0484408, -102.5116602)"
629 Twilight Dr.,P.O. Box 2134,Lake Placid ,FL,33852,629 Twilight Dr. Lake Placid  FL 33852,"(27.2607961, -81.3213536)"
1646 Wabash Road,,Rayne,LA,70578,1646 Wabash Road Rayne LA 70578,"(30.278091, -92.309415)"
10206 Wright Rd,P.O. Box 88,Gueydan,LA,70542,10206 Wright Rd Gueydan LA 70542,"(30.00597, -92.4294759)"
5395 Bryan Road ,,Jennings,LA,70546,5395 Bryan Road  Jennings LA 70546,"(30.3204802, -92.69466489999999)"
410 Grissom Rd. NW,,Lake Placid,FL,33852,410 Grissom Rd. NW Lake Placid FL 33852,"(27.2645593, -81.40207579999999)"
4682 SE Wheat Ave.,,Arcadia,FL,34266,4682 SE Wheat Ave. Arcadia FL 34266,"(27.1569849, -81.8177181)"
400 Eagle Lake Loop Rd,,Winter Haven,FL,33884,400 Eagle Lake Loop Rd Winter Haven FL 33884,"(27.9672349, -81.7143042)"
301 East Main St. Suite 1,,Rockton,IL,61072,301 East Main St. Suite 1 Rockton IL 61072,"(42.4528442, -89.0685749)"
44500 County Rd. 13,,Cope,CO,80812,44500 County Rd. 13 Cope CO 80812,"(39.765847, -102.872522)"
1935 Ross Bowen Road,,Lyons,GA,30436,1935 Ross Bowen Road Lyons GA 30436,"(32.1132246, -82.22703539999999)"
1850 W. Stowell Road,,Santa Maria,CA,93458,1850 W. Stowell Road Santa Maria CA 93458,"(34.9357435, -120.4761788)"
1106 Hwy 442,,Doddsville,MS,38736,1106 Hwy 442 Doddsville MS 38736,"(33.659519, -90.6148838)"
1 Harris Road,,Salinas,CA,93908,1 Harris Road Salinas CA 93908,"(36.6195221, -121.6443721)"
210 Quail Run,,Ozona,TX,76943,210 Quail Run Ozona TX 76943,"(30.6916367, -101.2093287)"
1180 Private Road 2906,"Mailing:  3742 Blue Bird Canyon Rd. Vista, CA 92084 ",Giddings,TX,78942,1180 Private Road 2906 Giddings TX 78942,"(30.1827159, -96.93637100000001)"
1950 North US Hwy 281,,Great Bend,KS,67530,1950 North US Hwy 281 Great Bend KS 67530,"(38.2387885, -98.746783)"
6067 NE Roan Rd.,,Arcadia,FL,34266,6067 NE Roan Rd. Arcadia FL 34266,"(27.2233331, -81.7744939)"
322 BESSIE GRIBBLE RD,,SMITHVILLE,TN,37166,322 BESSIE GRIBBLE RD SMITHVILLE TN 37166,"(35.8397354, -85.79667359999999)"
125 Ridge Rd,,Clarksdale,MS,38614,125 Ridge Rd Clarksdale MS 38614,"(34.2216926, -90.5744576)"
3420 Swanson Lane ,"(Mailing: PO Box 1176, Lake Charles, LA 70602)",Lake Charles ,LA,70605,3420 Swanson Lane  Lake Charles  LA 70605,"(30.1953532, -93.25329459999999)"
1604 E Maple St.,,Arcadia,FL,34266,1604 E Maple St. Arcadia FL 34266,"(27.2182663, -81.8414123)"
7409 146th Ave SE,,Milnor,ND,58060,7409 146th Ave SE Milnor ND 58060,"(46.3390382, -97.36444859999999)"
9044 Damery Rd,,Blue Mound,IL,62513,9044 Damery Rd Blue Mound IL 62513,"(39.7434872, -89.1028721)"
9150 CR 13 S,"Mailing:  PO Box 359, Hastings,  FL 32145 ",Hastings,FL,32145,9150 CR 13 S Hastings FL 32145,"(29.7419512, -81.4746638)"
2643 Duralde Hwy,,Eunice,LA,70535,2643 Duralde Hwy Eunice LA 70535,"(30.5607502, -92.4479009)"
2611 Duralde Hwy,,Eunice,LA,70535,2611 Duralde Hwy Eunice LA 70535,"(30.569283, -92.474374)"
1024 Cty Hwy 17,,Hendricks,MN,56136,1024 Cty Hwy 17 Hendricks MN 56136,"(44.5262658, -96.4519019)"
Box 282,2300 CR 628,Hart,TX,79043,Box 282 Hart TX 79043,"(34.3850726, -102.1157408)"
1130 W Rd 110 S,,Grainfield,KS,67737,1130 W Rd 110 S Grainfield KS 67737,"(39.2061554, -100.4633486)"
179 West 100 South,"PO Box 336, Ephraim UT 84627 (Mailing Address)",Ephraim,UT,84627,179 West 100 South Ephraim UT 84627,"(39.3577923, -111.5914063)"
4581 Buckhorn Drive,12189 N. Carlock Road,Des Arc,AR,72040,4581 Buckhorn Drive Des Arc AR 72040,"(35.015034, -91.433667)"
449 Harrison Road,,Salinas,CA,92907,449 Harrison Road Salinas CA 92907,"(36.7526955, -121.6568959)"
166 Gary Dr,,Brockport,NY,14420,166 Gary Dr Brockport NY 14420,"(43.201049, -77.9299349)"
5107 ZION CHURCH ROAD,,MARSHVILLE,NC,28103,5107 ZION CHURCH ROAD MARSHVILLE NC 28103,"(34.8543228, -80.3404362)"
2461 N Main Street,,Belle Glade,FL,33430,2461 N Main Street Belle Glade FL 33430,"(26.7199669, -80.66628759999999)"
405 Juniper Ln,,Ruleville,MS,38771,405 Juniper Ln Ruleville MS 38771,"(33.7362354, -90.5447466)"
2392 ST 64 West,P.O. Box 1607,Avon Park,FL,33825,2392 ST 64 West Avon Park FL 33825,"(27.5958672, -81.5061862)"
"CA addr: 101 E. Main St., P.O. Box 104, heber, CA 92249",AZ addr: 17815 South Highway 95,Somerton,AZ,85352,"CA addr: 101 E. Main St., P.O. Box 104, heber, CA 92249 Somerton AZ 85352","(32.7308911, -115.529718)"
3813 12th Street W,"P.O. Box 51223 Fort Myers, FL. 33994",Lehigh Acres,FL,33971,3813 12th Street W Lehigh Acres FL 33971,"(26.6239815, -81.7013992)"
P.O. BOX 69,1147 US HWY 41,PELHAM,TN,37366,P.O. BOX 69 PELHAM TN 37366,"(35.3307737, -85.8588594)"
1856 W Elm Street,,Oneida,NY,13421,1856 W Elm Street Oneida NY 13421,"(43.086071, -75.6989746)"
6430 E Rd 15 S,,Hoxie,KS,67740,6430 E Rd 15 S Hoxie KS 67740,"(39.343138, -100.321212)"
15772 Lake Mathews Drive,"Mailing:  3742 Blue Bird Canyon Road, Vista, CA 92084 ",Perris,CA,92570,15772 Lake Mathews Drive Perris CA 92570,"(33.7930536, -117.3849044)"
440 North Lamb Lane,"PO Box 922, Grantsville UT 84029 (Mailing Address)",Grantsville,UT,84029,440 North Lamb Lane Grantsville UT 84029,"(40.596215, -112.4086724)"
911 South Crocker Street,,Midland,LA,70559,911 South Crocker Street Midland LA 70559,"(30.161677, -92.49631869999999)"
38815 B LA Hwy 75,,Plaquemine,LA,70764,38815 B LA Hwy 75 Plaquemine LA 70764,"(30.2141302, -91.0956818)"
101 Village Creek Drive,,Newport,AR,72112,101 Village Creek Drive Newport AR 72112,"(35.6041816, -91.2143476)"
15 SAND MOUNTAIN RD.,,FORT MEADE,FL,33841,15 SAND MOUNTAIN RD. FORT MEADE FL 33841,"(27.7507213, -81.8093272)"
1331 Commerce Drive,,LaBelle,FL,33935,1331 Commerce Drive LaBelle FL 33935,"(26.7421446, -81.4233055)"
7317 N. Andre Rd,,Sterling,KS,67579,7317 N. Andre Rd Sterling KS 67579,"(38.135771, -98.27100010000001)"
P.O. Box 96,"3258 440th St, Riceville, IA 50466",McIntire,IA,50455,P.O. Box 96 McIntire IA 50455,"(43.4358006, -92.5937915)"
4398 Hwy 90 East,,Walnut Ridge,AR,72476,4398 Hwy 90 East Walnut Ridge AR 72476,"(36.1976476, -90.8970428)"
1460 N Melrose Drive,,Avon Park,FL,33825,1460 N Melrose Drive Avon Park FL 33825,"(27.6134824, -81.50299749999999)"
501 Hwy 97 West,,Fowlerton,TX,78021,501 Hwy 97 West Fowlerton TX 78021,"(28.563653, -98.7932979)"
316 BIRD DOG CIRCLE,,COBBTOWN,GA,30420,316 BIRD DOG CIRCLE COBBTOWN GA 30420,"(32.2894133, -82.21405159999999)"
15780 S Kellogg School Road,,Hickory Corners,MI,49060,15780 S Kellogg School Road Hickory Corners MI 49060,"(42.4235293, -85.3773697)"
18969 W McDowell Rd,,Buckeye,AZ,85396,18969 W McDowell Rd Buckeye AZ 85396,"(33.4637974, -112.4669571)"
36080 Russell Blvd.,"P.O. Box 74066, Davis CA 95617 (Mailing Address)",Davis,CA,95616,36080 Russell Blvd. Davis CA 95616,"(38.5476161, -121.8384024)"
8762 85th St SE,,Monango,ND,58436,8762 85th St SE Monango ND 58436,"(46.18472389999999, -98.553506)"
1582 Moffett Street,Ste. G,Salinas,CA,93905,1582 Moffett Street Salinas CA 93905,"(36.6594428, -121.6128887)"
2999 Old Collins Cobbtown Road,,Collins,GA,30421,2999 Old Collins Cobbtown Road Collins GA 30421,"(32.236232, -82.13915700000001)"
201 Center Street,,Dundee,FL,33838,201 Center Street Dundee FL 33838,"(28.0234312, -81.6199752)"
101 E. Main Street,,Heber,CA,92249,101 E. Main Street Heber CA 92249,"(32.7303887, -115.5250385)"
524 Plant Farm Road,,Adel,GA,31620,524 Plant Farm Road Adel GA 31620,"(31.0743362, -83.39001379999999)"
2305 Cypress Lane,,Belle Glade,FL,33430,2305 Cypress Lane Belle Glade FL 33430,"(26.7073669, -80.6654641)"
2210 Power Plant Ferry Road,,Zortman,MT,59546,2210 Power Plant Ferry Road Zortman MT 59546,"(47.816292, -108.675841)"
60 W. Market St. ,Suite 150,Salinas,CA,93901,60 W. Market St.  Salinas CA 93901,"(36.6790974, -121.658003)"
2695 E. Main Street,,Wauchula,FL,33873,2695 E. Main Street Wauchula FL 33873,"(27.5519038, -81.76276519999999)"
4394 Opelousas Road,,Ville Platte,LA,70586,4394 Opelousas Road Ville Platte LA 70586,"(30.6602535, -92.1958114)"
5913 South 40 Court,,Iowa,LA,70647,5913 South 40 Court Iowa LA 70647,"(30.154741, -93.09488999999999)"
3049 South State Road 29,PO  BOX 1588,LABELLE,FL,33975,3049 South State Road 29 LABELLE FL 33975,"(26.7170816, -81.43680429999999)"
51051 US Highway 20,,Oberlin,OH,44074,51051 US Highway 20 Oberlin OH 44074,"(41.2570368, -82.311595)"
2693 NW 32nd Ave.,,Okeechobee,FL,34972,2693 NW 32nd Ave. Okeechobee FL 34972,"(27.2678399, -80.86162709999999)"
4533 U.S. Hwy 14 & 16,"PO Box 163, Leiter WY 82837 (Mailing Address)",Leiter,WY,82837,4533 U.S. Hwy 14 & 16 Leiter WY 82837,"(44.7222504, -106.2909244)"
4602 Shoreview Place SE,,Mandan,ND,58554,4602 Shoreview Place SE Mandan ND 58554,"(46.8266603, -100.8895761)"
2090 County Road 25,,"Zap, ND",ND,58580,"2090 County Road 25 Zap, ND ND 58580","(47.2863966, -101.9226704)"
237 Red Rock Road,,Parrott,GA,39877,237 Red Rock Road Parrott GA 39877,"(31.929152, -84.496279)"
100 Rushbrook Rd,,Tchula,MS,39169,100 Rushbrook Rd Tchula MS 39169,"(33.054268, -90.3319827)"
4006 Airport Road,,Plant City,FL,33563,4006 Airport Road Plant City FL 33563,"(28.0056908, -82.1621901)"
450 W 750 N,,Howe,IN,46746,450 W 750 N Howe IN 46746,"(41.7502978, -85.4370738)"
4918 NW Dill Rd.,,Arcadia,FL,34266,4918 NW Dill Rd. Arcadia FL 34266,"(27.2298774, -81.9228103)"
2381 Holly Grove-Meeks Rd.,,Cruger,MS,38924,2381 Holly Grove-Meeks Rd. Cruger MS 38924,"(33.3045167, -90.1957889)"
20300 Spence Rd,,Salinas ,CA,93908,20300 Spence Rd Salinas  CA 93908,"(36.6240919, -121.5509029)"
3035 CR 73,,Robstown,TX,78380,3035 CR 73 Robstown TX 78380,"(27.7903032, -97.6688843)"
2600 OVERLOOK DRIVE,,WINTER HAVEN,FL,33884,2600 OVERLOOK DRIVE WINTER HAVEN FL 33884,"(28.020403, -81.65990099999999)"
N. 201 Brookshier Rd,,Van Horn,TX,79855,N. 201 Brookshier Rd Van Horn TX 79855,"(31.106714, -104.7372053)"
7471 NW CR 152,,Jennings,FL,32053,7471 NW CR 152 Jennings FL 32053,"(30.5567092, -83.0887923)"
12093 35th St NE,,Petersburg,ND,58272,12093 35th St NE Petersburg ND 58272,"(47.9188284, -97.99117849999999)"
1542 ISHMAEL RD,,CARLISLE,KY,40311,1542 ISHMAEL RD CARLISLE KY 40311,"(38.308748, -83.5977559)"
705 Roosevelt Blvd.,,Lake Placid ,FL,33852,705 Roosevelt Blvd. Lake Placid  FL 33852,"(27.3514082, -81.3354518)"
139 Jerry Heinen Lane,,Branch,LA,70516,139 Jerry Heinen Lane Branch LA 70516,"(30.3621839, -92.3394017)"
23195 Crowley Eunice Highway,,Crowley,LA,70526,23195 Crowley Eunice Highway Crowley LA 70526,"(30.296119, -92.402086)"
10775 RCR 29,"PO Box 897, Craig CO 81626 (Mailing Address)",Hayden,CO,81639,10775 RCR 29 Hayden CO 81639,"(40.4894302, -107.2636842)"
796 Hwy 82,,Winona,MS,38967,796 Hwy 82 Winona MS 38967,"(33.4975417, -89.7217002)"
315 Nichelle Blvd.,,Lake Placid,FL,33852,315 Nichelle Blvd. Lake Placid FL 33852,"(27.2930999, -81.3628502)"
17717 Hunting Bow Circle,Suite 102,Lutz,FL,33558,17717 Hunting Bow Circle Lutz FL 33558,"(28.1938396, -82.5204017)"
1820 County Road 833,,Clewiston,FL,33440,1820 County Road 833 Clewiston FL 33440,"(26.7413362, -81.124391)"
21001 J Road,,Arnold,KS,67515,21001 J Road Arnold KS 67515,"(38.569655, -100.071008)"
611 Church Street,,Vidalia,GA,30474,611 Church Street Vidalia GA 30474,"(32.2121217, -82.41688959999999)"
1284 Hatch Parkway N,,Baxley,GA,31513,1284 Hatch Parkway N Baxley GA 31513,"(31.7965195, -82.35040219999999)"
145 Triple F Lane,,Monticello,AR,71655,145 Triple F Lane Monticello AR 71655,"(33.6823019, -91.8479795)"
1837 Highway 195,,Leesburg,GA,31763,1837 Highway 195 Leesburg GA 31763,"(31.7321156, -84.1707423)"
503 10th Street W,,Palmetto,FL,34220,503 10th Street W Palmetto FL 34220,"(27.5207071, -82.5707525)"
30626 Reservoir Street,"20606 Union Street, Wildomar CA 92595 (Mailing Address)",Lakeview,CA,92567,30626 Reservoir Street Lakeview CA 92567,"(33.8342471, -117.127638)"
